,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,158023,L. Messi,28,https://cdn.sofifa.org/sm/16/players/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,94,FC Barcelona,https://cdn.sofifa.org/xs/16/teams/241.png,€101M,€550K,2136
1,20801,Cristiano Ronaldo,30,https://cdn.sofifa.org/sm/16/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,93,93,Real Madrid CF,https://cdn.sofifa.org/xs/16/teams/243.png,€85.5M,€475K,2214
2,190871,Neymar,23,https://cdn.sofifa.org/sm/16/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,90,94,FC Barcelona,https://cdn.sofifa.org/xs/16/teams/241.png,€89.5M,€270K,2058
3,176580,L. Suárez,28,https://cdn.sofifa.org/sm/16/players/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,90,90,FC Barcelona,https://cdn.sofifa.org/xs/16/teams/241.png,€69M,€300K,2280
4,167495,M. Neuer,29,https://cdn.sofifa.org/sm/16/players/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,FC Bayern Munich,https://cdn.sofifa.org/xs/16/teams/21.png,€58M,€250K,1410
5,41236,Z. Ibrahimović,33,https://cdn.sofifa.org/sm/16/players/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,89,89,Paris Saint-Germain,https://cdn.sofifa.org/xs/16/teams/73.png,€40.5M,€220K,2116
6,9014,A. Robben,31,https://cdn.sofifa.org/sm/16/players/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,89,89,FC Bayern Munich,https://cdn.sofifa.org/xs/16/teams/21.png,€50M,€250K,2108
7,188545,R. Lewandowski,26,https://cdn.sofifa.org/sm/16/players/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,88,89,FC Bayern Munich,https://cdn.sofifa.org/xs/16/teams/21.png,€62.5M,€240K,2096
8,183277,E. Hazard,24,https://cdn.sofifa.org/sm/16/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,88,90,Chelsea,https://cdn.sofifa.org/xs/16/teams/5.png,€64M,€210K,2084
9,176635,M. Özil,26,https://cdn.sofifa.org/sm/16/players/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,88,89,Arsenal,https://cdn.sofifa.org/xs/16/teams/1.png,€61M,€240K,1940
