,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,158023,L. Messi,26,https://cdn.sofifa.org/sm/14/players/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,97,FC Barcelona,https://cdn.sofifa.org/xs/14/teams/241.png,€113.5M,€395K,2171
1,20801,Cristiano Ronaldo,28,https://cdn.sofifa.org/sm/14/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,92,92,Real Madrid CF,https://cdn.sofifa.org/xs/14/teams/243.png,€74M,€265K,2220
2,41236,Z. Ibrahimović,31,https://cdn.sofifa.org/sm/14/players/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,90,90,Paris Saint-Germain,https://cdn.sofifa.org/xs/14/teams/73.png,€42M,€180K,2139
3,176580,L. Suárez,26,https://cdn.sofifa.org/sm/14/players/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,89,89,Liverpool,https://cdn.sofifa.org/xs/14/teams/9.png,€35M,€210K,2289
4,167397,Falcao,27,https://cdn.sofifa.org/sm/14/players/167397.png,Colombia,https://cdn.sofifa.org/flags/56.png,89,89,AS Monaco,https://cdn.sofifa.org/xs/14/teams/69.png,€32M,€125K,2073
5,156616,F. Ribéry,30,https://cdn.sofifa.org/sm/14/players/156616.png,France,https://cdn.sofifa.org/flags/18.png,89,89,FC Bayern Munich,https://cdn.sofifa.org/xs/14/teams/21.png,€24M,€210K,2051
6,7826,R. van Persie,29,https://cdn.sofifa.org/sm/14/players/7826.png,Netherlands,https://cdn.sofifa.org/flags/34.png,89,89,Manchester United,https://cdn.sofifa.org/xs/14/teams/11.png,€31M,€210K,2054
7,41,Iniesta,29,https://cdn.sofifa.org/sm/14/players/41.png,Spain,https://cdn.sofifa.org/flags/45.png,89,89,FC Barcelona,https://cdn.sofifa.org/xs/14/teams/241.png,€25.5M,€210K,2129
8,183277,E. Hazard,22,https://cdn.sofifa.org/sm/14/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,88,90,Chelsea,https://cdn.sofifa.org/xs/14/teams/5.png,€45.5M,€185K,2077
9,164240,Thiago Silva,28,https://cdn.sofifa.org/sm/14/players/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/xs/14/teams/73.png,€22.5M,€140K,2155
10,153079,S. Agüero,25,https://cdn.sofifa.org/sm/14/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,90,Manchester City,https://cdn.sofifa.org/xs/14/teams/10.png,€54.5M,€185K,2081
11,121944,B. Schweinsteiger,28,https://cdn.sofifa.org/sm/14/players/121944.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/xs/14/teams/21.png,€27.5M,€165K,2298
