,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,158023,L. Messi,30,https://cdn.sofifa.org/sm/18/players/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,94,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,€118.5M,€565K,2160
1,20801,Cristiano Ronaldo,32,https://cdn.sofifa.org/sm/18/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,€95.5M,€565K,2228
2,190871,Neymar,25,https://cdn.sofifa.org/sm/18/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,93,Paris Saint-Germain,https://cdn.sofifa.org/xs/18/teams/73.png,€119.5M,€280K,2105
3,176580,L. Suárez,30,https://cdn.sofifa.org/sm/18/players/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,92,92,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,€97M,€510K,2291
4,167495,M. Neuer,31,https://cdn.sofifa.org/sm/18/players/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,92,92,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,€61M,€230K,1487
5,193080,De Gea,26,https://cdn.sofifa.org/sm/18/players/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,91,93,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,€74.5M,€295K,1463
6,192985,K. De Bruyne,26,https://cdn.sofifa.org/sm/18/players/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,92,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,€104.5M,€395K,2232
7,188545,R. Lewandowski,28,https://cdn.sofifa.org/sm/18/players/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,91,91,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,€92M,€355K,2152
8,183277,E. Hazard,26,https://cdn.sofifa.org/sm/18/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,91,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,€95.5M,€405K,2119
9,182521,T. Kroos,27,https://cdn.sofifa.org/sm/18/players/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,€79M,€340K,2177
10,167664,G. Higuaín,29,https://cdn.sofifa.org/sm/18/players/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,90,90,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,€77M,€275K,1961
11,155862,Sergio Ramos,31,https://cdn.sofifa.org/sm/18/players/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,90,90,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,€52M,€310K,2154
12,211110,P. Dybala,23,https://cdn.sofifa.org/sm/18/players/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,94,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,€89M,€215K,2082
13,192119,T. Courtois,25,https://cdn.sofifa.org/sm/18/players/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,€59M,€190K,1298
14,178603,M. Hummels,28,https://cdn.sofifa.org/sm/18/players/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,89,89,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,€54M,€215K,2049
15,177003,L. Modrić,31,https://cdn.sofifa.org/sm/18/players/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,89,89,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,€57M,€340K,2231
16,168542,David Silva,31,https://cdn.sofifa.org/sm/18/players/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,89,89,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,€58.5M,€285K,2009
17,153079,S. Agüero,29,https://cdn.sofifa.org/sm/18/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,€66.5M,€325K,2075
18,138956,G. Chiellini,32,https://cdn.sofifa.org/sm/18/players/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,€38M,€225K,1867
19,1179,G. Buffon,39,https://cdn.sofifa.org/sm/18/players/1179.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,€4.5M,€110K,1335
20,215914,N. Kanté,26,https://cdn.sofifa.org/sm/18/players/215914.png,France,https://cdn.sofifa.org/flags/18.png,88,90,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,€59.5M,€245K,2161
21,202126,H. Kane,23,https://cdn.sofifa.org/sm/18/players/202126.png,England,https://cdn.sofifa.org/flags/14.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/xs/18/teams/18.png,€76.5M,€210K,2115
22,200389,J. Oblak,24,https://cdn.sofifa.org/sm/18/players/200389.png,Slovenia,https://cdn.sofifa.org/flags/44.png,88,93,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,€57M,€82K,1290
23,195864,P. Pogba,24,https://cdn.sofifa.org/sm/18/players/195864.png,France,https://cdn.sofifa.org/flags/18.png,88,92,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,€76M,€250K,2259
24,194765,A. Griezmann,26,https://cdn.sofifa.org/sm/18/players/194765.png,France,https://cdn.sofifa.org/flags/18.png,88,91,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,€75M,€150K,2112
25,190460,C. Eriksen,25,https://cdn.sofifa.org/sm/18/players/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/xs/18/teams/18.png,€74.5M,€210K,2085
26,189509,Thiago,26,https://cdn.sofifa.org/sm/18/players/189509.png,Spain,https://cdn.sofifa.org/flags/45.png,88,90,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,€70.5M,€225K,2186
27,184941,A. Sánchez,28,https://cdn.sofifa.org/sm/18/players/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,88,88,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,€60M,€325K,2179
28,182493,D. Godín,31,https://cdn.sofifa.org/sm/18/players/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,€40M,€125K,1937
29,179813,E. Cavani,30,https://cdn.sofifa.org/sm/18/players/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/xs/18/teams/73.png,€57M,€210K,2111
