,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
0,158023,L. Messi,26,Argentina,94,97,FC Barcelona,113500000.0,395000.0
1,20801,Cristiano Ronaldo,28,Portugal,92,92,Real Madrid CF,74000000.0,265000.0
2,41236,Z. Ibrahimović,31,Sweden,90,90,Paris Saint-Germain,42000000.0,180000.0
3,176580,L. Suárez,26,Uruguay,89,89,Liverpool,35000000.0,210000.0
4,167397,Falcao,27,Colombia,89,89,AS Monaco,32000000.0,125000.0
5,156616,F. Ribéry,30,France,89,89,FC Bayern Munich,24000000.0,210000.0
6,7826,R. van Persie,29,Netherlands,89,89,Manchester United,31000000.0,210000.0
7,41,Iniesta,29,Spain,89,89,FC Barcelona,25500000.0,210000.0
8,183277,E. Hazard,22,Belgium,88,90,Chelsea,45500000.0,185000.0
9,164240,Thiago Silva,28,Brazil,88,88,Paris Saint-Germain,22500000.0,140000.0
10,153079,S. Agüero,25,Argentina,88,90,Manchester City,54500000.0,185000.0
11,121944,B. Schweinsteiger,28,Germany,88,88,FC Bayern Munich,27500000.0,165000.0
12,10535,Xavi,33,Spain,88,88,FC Barcelona,15000000.0,165000.0
13,9014,A. Robben,29,Netherlands,88,88,FC Bayern Munich,27000000.0,180000.0
14,179813,E. Cavani,26,Uruguay,87,89,Paris Saint-Germain,34500000.0,160000.0
15,178088,Juan Mata,25,Spain,87,88,Manchester United,43000000.0,160000.0
16,176635,M. Özil,24,Germany,87,89,Arsenal,47000000.0,185000.0
17,173731,G. Bale,23,Wales,87,91,Real Madrid CF,49500000.0,205000.0
18,168542,David Silva,27,Spain,87,88,Manchester City,27500000.0,175000.0
19,167495,M. Neuer,27,Germany,87,89,FC Bayern Munich,15500000.0,185000.0
20,121939,P. Lahm,29,Germany,87,87,FC Bayern Munich,16500000.0,165000.0
21,54050,W. Rooney,27,England,87,87,Manchester United,29000000.0,165000.0
22,188545,R. Lewandowski,24,Poland,86,89,Borussia Dortmund,57000000.0,195000.0
23,183898,A. Di María,25,Argentina,86,88,Real Madrid CF,39000000.0,170000.0
24,181872,A. Vidal,26,Chile,86,88,Juventus,30000000.0,185000.0
25,177003,L. Modrić,27,Croatia,86,88,Real Madrid CF,28500000.0,170000.0
26,162895,Cesc Fàbregas,26,Spain,86,90,FC Barcelona,33500000.0,205000.0
27,155862,Sergio Ramos,27,Spain,86,89,Real Madrid CF,27500000.0,195000.0
28,152729,Piqué,26,Spain,86,91,FC Barcelona,34000000.0,205000.0
29,143001,C. Tévez,29,Argentina,86,86,Juventus,26500000.0,165000.0
30,139720,V. Kompany,27,Belgium,86,87,Manchester City,21500000.0,175000.0
31,20289,Y. Touré,30,Ivory Coast,86,86,Manchester City,22000000.0,165000.0
32,5479,Casillas,32,Spain,86,86,Real Madrid CF,12000000.0,165000.0
33,192318,M. Götze,21,Germany,85,92,FC Bayern Munich,45000000.0,180000.0
34,190871,Neymar,21,Brazil,85,91,FC Barcelona,39500000.0,190000.0
35,189596,T. Müller,23,Germany,85,88,FC Bayern Munich,29500000.0,175000.0
36,189511,Sergio Busquets,24,Spain,85,89,FC Barcelona,20500000.0,170000.0
37,188350,M. Reus,24,Germany,85,88,Borussia Dortmund,28500000.0,160000.0
38,178603,M. Hummels,24,Germany,85,88,Borussia Dortmund,21000000.0,160000.0
39,177509,M. Benatia,26,Morocco,85,87,Roma,14000000.0,145000.0
40,165153,K. Benzema,25,France,85,87,Real Madrid CF,28000000.0,165000.0
41,143745,A. Turan,26,Turkey,85,88,Atlético Madrid,20000000.0,160000.0
42,140601,N. Vidić,31,Serbia,85,85,Manchester United,8800000.0,150000.0
43,139869,W. Sneijder,29,Netherlands,85,85,Galatasaray SK,15000000.0,85000.0
44,53302,D. De Rossi,29,Italy,85,85,Roma,9800000.0,135000.0
45,48940,P. Čech,31,Czech Republic,85,85,Chelsea,7800000.0,150000.0
46,45197,Xabi Alonso,31,Spain,85,85,Real Madrid CF,7800000.0,150000.0
47,197781,Isco,21,Spain,84,88,Real Madrid CF,30000000.0,160000.0
48,192119,T. Courtois,21,Belgium,84,88,Atlético Madrid,14500000.0,160000.0
49,190460,C. Eriksen,21,Denmark,84,88,Tottenham Hotspur,27500000.0,150000.0
50,189505,Pedro,25,Spain,84,88,FC Barcelona,31000000.0,170000.0
51,189362,Hulk,26,Brazil,84,86,Zenit St. Petersburg,20500000.0,130000.0
52,188152,Oscar,21,Brazil,84,87,Chelsea,31500000.0,160000.0
53,183907,J. Boateng,24,Germany,84,86,FC Bayern Munich,19000000.0,155000.0
54,182521,T. Kroos,23,Germany,84,88,FC Bayern Munich,31000000.0,170000.0
55,179846,S. Khedira,26,Germany,84,86,Real Madrid CF,13000000.0,155000.0
56,179844,Diego Costa,24,Spain,84,87,Atlético Madrid,33000000.0,155000.0
57,177610,Javi Martinez,24,Spain,84,86,FC Bayern Munich,19000000.0,155000.0
58,173210,C. Marchisio,27,Italy,84,88,Juventus,20000000.0,170000.0
59,168435,S. Sirigu,26,Italy,84,85,Paris Saint-Germain,8600000.0,115000.0
60,167948,H. Lloris,26,France,84,86,Tottenham Hotspur,9400000.0,130000.0
61,167664,G. Higuaín,25,Argentina,84,86,Napoli,28000000.0,155000.0
62,165239,S. Nasri,26,France,84,87,Manchester City,21000000.0,160000.0
63,158625,Dante,29,Brazil,84,84,FC Bayern Munich,11000000.0,135000.0
64,150418,M. Gomez,27,Germany,84,84,Fiorentina,15500000.0,125000.0
65,148803,K. Huntelaar,29,Netherlands,84,84,FC Schalke 04,16000000.0,115000.0
66,148119,I. Akinfeev,27,Russia,84,85,CSKA Moscow,8600000.0,125000.0
67,146748,Diego López,31,Spain,84,84,Real Madrid CF,6800000.0,135000.0
68,146562,Santi Cazorla,28,Spain,84,84,Arsenal,14500000.0,135000.0
69,146530,Dani Alves,30,Brazil,84,84,FC Barcelona,10000000.0,150000.0
70,142754,J. Mascherano,29,Argentina,84,84,FC Barcelona,11000000.0,135000.0
71,138956,G. Chiellini,28,Italy,84,84,Juventus,11500000.0,135000.0
72,137186,A. Barzagli,32,Italy,84,84,Juventus,7600000.0,135000.0
73,112253,J. Toulalan,29,France,84,84,AS Monaco,9800000.0,85000.0
74,31432,D. Drogba,35,Ivory Coast,84,84,Galatasaray SK,5000000.0,85000.0
75,7763,A. Pirlo,34,Italy,84,84,Juventus,6600000.0,135000.0
76,200949,Lucas,20,Brazil,83,90,Paris Saint-Germain,30500000.0,130000.0
77,198710,J. Rodríguez,21,Colombia,83,89,AS Monaco,28000000.0,105000.0
78,193080,De Gea,22,Spain,83,87,Manchester United,10500000.0,150000.0
79,186942,I. Gündoğan,22,Germany,83,87,Borussia Dortmund,17500000.0,150000.0
80,186627,M. Balotelli,22,Italy,83,90,Milan,32000000.0,170000.0
81,181820,S. Jovetić,23,Montenegro,83,87,Manchester City,22000000.0,150000.0
82,181783,M. Mandžukić,27,Croatia,83,83,FC Bayern Munich,11500000.0,120000.0
83,180930,E. Džeko,27,Bosnia Herzegovina,83,83,Manchester City,12500000.0,120000.0
84,180432,Hernanes,28,Brazil,83,86,Inter,15000000.0,140000.0
85,180403,Willian,24,Brazil,83,84,Chelsea,15500000.0,120000.0
86,180206,M. Pjanić,23,Bosnia Herzegovina,83,87,Roma,21000000.0,140000.0
87,176676,Marcelo,25,Brazil,83,85,Real Madrid CF,13500000.0,135000.0
88,173771,L. Piszczek,28,Poland,83,83,Borussia Dortmund,8400000.0,120000.0
89,173221,A. Candreva,26,Italy,83,85,Lazio,15000000.0,110000.0
90,171877,M. Hamšik,25,Slovakia,83,86,Napoli,23500000.0,140000.0
91,171833,D. Sturridge,23,England,83,86,Liverpool,24500000.0,135000.0
92,170890,B. Matuidi,26,France,83,86,Paris Saint-Germain,11500000.0,115000.0
93,164994,J. Błaszczykowski,27,Poland,83,83,Borussia Dortmund,9800000.0,120000.0
94,162347,João Moutinho,26,Portugal,83,86,AS Monaco,14500000.0,90000.0
95,159065,E. Lavezzi,28,Argentina,83,83,Paris Saint-Germain,12500000.0,100000.0
96,158133,J. Farfán,28,Peru,83,83,FC Schalke 04,10500000.0,100000.0
97,157503,A. Song,25,Cameroon,83,85,FC Barcelona,12000000.0,125000.0
98,146536,Jesús Navas,27,Spain,83,83,Manchester City,9800000.0,120000.0
99,146439,Negredo,27,Spain,83,83,Manchester City,11500000.0,120000.0
100,138449,Kaká,31,Brazil,83,83,Milan,9400000.0,120000.0
101,136138,Diego,28,Brazil,83,83,Atlético Madrid,11000000.0,120000.0
102,136130,Alex,31,Brazil,83,83,Paris Saint-Germain,6400000.0,100000.0
103,135475,Felipe Melo,30,Brazil,83,83,Galatasaray SK,6600000.0,75000.0
104,120533,Pepe,30,Portugal,83,83,Real Madrid CF,7200000.0,120000.0
105,113422,David Villa,31,Spain,83,83,Atlético Madrid,9400000.0,120000.0
106,106573,Victor Valdés,31,Spain,83,83,FC Barcelona,4800000.0,120000.0
107,49370,T. Motta,30,Italy,83,83,Paris Saint-Germain,6600000.0,100000.0
108,34079,A. Cole,32,England,83,83,Chelsea,5200000.0,130000.0
109,20800,Danny,29,Portugal,83,83,Zenit St. Petersburg,11500000.0,95000.0
110,13743,S. Gerrard,33,England,83,83,Liverpool,5800000.0,120000.0
111,13732,J. Terry,32,England,83,83,Chelsea,5400000.0,120000.0
112,2196,R. Weidenfeller,32,Germany,83,83,Borussia Dortmund,5200000.0,110000.0
113,197445,D. Alaba,21,Austria,82,88,FC Bayern Munich,19000000.0,155000.0
114,194765,A. Griezmann,22,France,82,88,Real Sociedad,28000000.0,95000.0
115,193747,Koke,21,Spain,82,85,Atlético Madrid,19500000.0,125000.0
116,193082,J. Cuadrado,25,Colombia,82,83,Fiorentina,16000000.0,100000.0
117,192883,H. Mkhitaryan,24,Armenia,82,85,Borussia Dortmund,23500000.0,135000.0
