,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
0,20801,Cristiano Ronaldo,31,Portugal,94,94,Real Madrid CF,87000000.0,340000.0
1,158023,L. Messi,29,Argentina,93,93,FC Barcelona,89000000.0,340000.0
2,190871,Neymar,24,Brazil,92,94,FC Barcelona,106000000.0,260000.0
3,176580,L. Suárez,29,Uruguay,92,92,FC Barcelona,83000000.0,255000.0
4,167495,M. Neuer,30,Germany,92,92,FC Bayern Munich,69500000.0,240000.0
5,193080,De Gea,25,Spain,90,92,Manchester United,68500000.0,170000.0
6,188545,R. Lewandowski,27,Poland,90,90,FC Bayern Munich,71000000.0,210000.0
7,173731,G. Bale,26,Wales,90,90,Real Madrid CF,72000000.0,210000.0
8,41236,Z. Ibrahimović,34,Sweden,90,90,Manchester United,36500000.0,150000.0
9,192119,T. Courtois,24,Belgium,89,93,Chelsea,67500000.0,170000.0
10,183907,J. Boateng,27,Germany,89,89,FC Bayern Munich,50000000.0,200000.0
11,183277,E. Hazard,25,Belgium,89,90,Chelsea,71500000.0,180000.0
12,177003,L. Modrić,30,Croatia,89,89,Real Madrid CF,54000000.0,160000.0
13,176635,M. Özil,27,Germany,89,89,Arsenal,62000000.0,210000.0
14,167664,G. Higuaín,28,Argentina,89,89,Juventus,61500000.0,210000.0
15,164240,Thiago Silva,31,Brazil,89,89,Paris Saint-Germain,39500000.0,160000.0
16,155862,Sergio Ramos,30,Spain,89,89,Real Madrid CF,43500000.0,160000.0
17,153079,S. Agüero,28,Argentina,89,89,Manchester City,61500000.0,210000.0
18,195864,P. Pogba,23,France,88,94,Manchester United,71500000.0,150000.0
19,194765,A. Griezmann,25,France,88,92,Atlético Madrid,68500000.0,160000.0
20,192985,K. De Bruyne,25,Belgium,88,91,Manchester City,65500000.0,160000.0
21,188350,M. Reus,27,Germany,88,88,Borussia Dortmund,52000000.0,170000.0
22,184941,A. Sánchez,27,Chile,88,88,Arsenal,55000000.0,180000.0
23,182521,T. Kroos,26,Germany,88,89,Real Madrid CF,59500000.0,170000.0
24,182493,D. Godín,30,Uruguay,88,88,Atlético Madrid,38000000.0,130000.0
25,167948,H. Lloris,29,France,88,88,Tottenham Hotspur,45000000.0,140000.0
26,138956,G. Chiellini,31,Italy,88,88,Juventus,34000000.0,140000.0
27,121939,P. Lahm,32,Germany,88,88,FC Bayern Munich,29500000.0,140000.0
28,120533,Pepe,33,Portugal,88,88,Real Madrid CF,23500000.0,100000.0
29,48940,P. Čech,34,Czech Republic,88,88,Arsenal,34000000.0,100000.0
30,1179,G. Buffon,38,Italy,88,88,Juventus,9000000.0,100000.0
31,41,Iniesta,32,Spain,88,88,FC Barcelona,39500000.0,140000.0
32,200389,J. Oblak,23,Slovenia,87,91,Atlético Madrid,50500000.0,120000.0
33,198710,J. Rodríguez,24,Colombia,87,92,Real Madrid CF,61000000.0,150000.0
34,188567,P. Aubameyang,27,Gabon,87,88,Borussia Dortmund,52000000.0,160000.0
35,184344,L. Bonucci,29,Italy,87,87,Juventus,34000000.0,120000.0
36,181872,A. Vidal,29,Chile,87,87,FC Bayern Munich,41500000.0,130000.0
37,178603,M. Hummels,27,Germany,87,87,FC Bayern Munich,37000000.0,160000.0
38,168651,I. Rakitić,28,Croatia,87,87,FC Barcelona,43500000.0,160000.0
39,168542,David Silva,30,Spain,87,87,Manchester City,41500000.0,140000.0
40,162835,S. Handanovič,31,Slovenia,87,87,Inter,35500000.0,120000.0
41,152729,Piqué,29,Spain,87,87,FC Barcelona,34000000.0,130000.0
42,9014,A. Robben,32,Netherlands,87,87,FC Bayern Munich,34000000.0,130000.0
43,211110,P. Dybala,22,Argentina,86,93,Juventus,56500000.0,120000.0
44,199556,M. Verratti,23,Italy,86,90,Paris Saint-Germain,50500000.0,120000.0
45,197445,D. Alaba,24,Austria,86,89,FC Bayern Munich,41500000.0,140000.0
46,192883,H. Mkhitaryan,27,Armenia,86,86,Manchester United,39000000.0,150000.0
47,192563,B. Leno,24,Germany,86,89,Bayer 04 Leverkusen,42500000.0,120000.0
48,189596,T. Müller,26,Germany,86,87,FC Bayern Munich,45500000.0,170000.0
49,189511,Sergio Busquets,27,Spain,86,87,FC Barcelona,36000000.0,160000.0
50,189332,Jordi Alba,27,Spain,86,87,FC Barcelona,35500000.0,150000.0
51,189242,Coutinho,24,Brazil,86,90,Liverpool,52000000.0,130000.0
52,183898,A. Di María,28,Argentina,86,86,Paris Saint-Germain,39000000.0,170000.0
53,179844,Diego Costa,27,Spain,86,86,Chelsea,41000000.0,170000.0
54,179813,E. Cavani,29,Uruguay,86,86,Paris Saint-Germain,38500000.0,140000.0
55,178518,R. Nainggolan,28,Belgium,86,86,Roma,37500000.0,150000.0
56,176676,Marcelo,28,Brazil,86,86,Real Madrid CF,30000000.0,160000.0
57,173210,C. Marchisio,30,Italy,86,86,Juventus,35000000.0,120000.0
58,168609,Miranda,31,Brazil,86,86,Inter,25500000.0,120000.0
59,165153,K. Benzema,28,France,86,86,Real Madrid CF,39500000.0,170000.0
60,162895,Cesc Fàbregas,29,Spain,86,86,Chelsea,36000000.0,130000.0
61,156616,F. Ribéry,33,France,86,86,FC Bayern Munich,24000000.0,100000.0
62,146562,Santi Cazorla,31,Spain,86,86,Arsenal,33500000.0,130000.0
63,137186,A. Barzagli,35,Italy,86,86,Juventus,6500000.0,80000.0
64,202126,H. Kane,22,England,85,90,Tottenham Hotspur,46000000.0,100000.0
65,193301,A. Lacazette,25,France,85,88,Olympique Lyonnais,42000000.0,110000.0
66,193041,K. Navas,29,Costa Rica,85,85,Real Madrid CF,28500000.0,100000.0
67,190460,C. Eriksen,24,Denmark,85,89,Tottenham Hotspur,44000000.0,110000.0
68,189509,Thiago,25,Spain,85,87,FC Bayern Munich,39000000.0,110000.0
69,186942,I. Gündoğan,25,Germany,85,87,Manchester City,39000000.0,110000.0
70,184087,T. Alderweireld,27,Belgium,85,86,Tottenham Hotspur,31000000.0,130000.0
71,180403,Willian,27,Brazil,85,85,Chelsea,33000000.0,130000.0
72,180206,M. Pjanić,26,Bosnia Herzegovina,85,87,Juventus,39000000.0,130000.0
73,178088,Juan Mata,28,Spain,85,85,Manchester United,33000000.0,140000.0
74,177610,Javi Martinez,27,Spain,85,86,FC Bayern Munich,31000000.0,130000.0
75,177388,D. Payet,29,France,85,85,Olympique de Marseille,31000000.0,50000.0
76,175943,D. Mertens,29,Belgium,85,85,Napoli,32000000.0,110000.0
77,172879,Sokratis,28,Greece,85,85,Borussia Dortmund,26000000.0,130000.0
78,171877,M. Hamšik,28,Slovakia,85,85,Napoli,32000000.0,130000.0
79,170890,B. Matuidi,29,France,85,85,Paris Saint-Germain,25000000.0,100000.0
80,167628,S. Ruffier,29,France,85,85,AS Saint-Étienne,28500000.0,30000.0
81,165229,L. Koscielny,30,France,85,85,Arsenal,24000000.0,100000.0
82,164169,Filipe Luís,30,Brazil,85,85,Atlético Madrid,23500000.0,100000.0
83,139720,V. Kompany,30,Belgium,85,85,Manchester City,24000000.0,110000.0
84,212218,A. Laporte,22,France,84,88,Athletic Club de Bilbao,32500000.0,90000.0
85,208418,Y. Carrasco,22,Belgium,84,88,Atlético Madrid,37000000.0,90000.0
86,204963,Carvajal,24,Spain,84,87,Real Madrid CF,30500000.0,100000.0
87,204485,R. Mahrez,25,Algeria,84,85,Leicester City,33000000.0,60000.0
88,201535,R. Varane,23,France,84,91,Real Madrid CF,35000000.0,110000.0
