,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
0,158023,L. Messi,28,Argentina,94,94,FC Barcelona,101000000.0,550000.0
1,20801,Cristiano Ronaldo,30,Portugal,93,93,Real Madrid CF,85500000.0,475000.0
2,190871,Neymar,23,Brazil,90,94,FC Barcelona,89500000.0,270000.0
3,176580,L. Suárez,28,Uruguay,90,90,FC Barcelona,69000000.0,300000.0
4,167495,M. Neuer,29,Germany,90,90,FC Bayern Munich,58000000.0,250000.0
5,41236,Z. Ibrahimović,33,Sweden,89,89,Paris Saint-Germain,40500000.0,220000.0
6,9014,A. Robben,31,Netherlands,89,89,FC Bayern Munich,50000000.0,250000.0
7,188545,R. Lewandowski,26,Poland,88,88,FC Bayern Munich,57000000.0,240000.0
8,183277,E. Hazard,24,Belgium,88,90,Chelsea,64000000.0,210000.0
9,176635,M. Özil,26,Germany,88,89,Arsenal,61000000.0,240000.0
10,164240,Thiago Silva,30,Brazil,88,88,Paris Saint-Germain,38000000.0,200000.0
11,153079,S. Agüero,27,Argentina,88,88,Manchester City,55000000.0,240000.0
12,41,Iniesta,31,Spain,88,88,FC Barcelona,43000000.0,220000.0
13,198710,J. Rodríguez,23,Colombia,87,91,Real Madrid CF,59500000.0,210000.0
14,193080,De Gea,24,Spain,87,90,Manchester United,49000000.0,180000.0
15,183907,J. Boateng,26,Germany,87,88,FC Bayern Munich,43500000.0,220000.0
16,182521,T. Kroos,25,Germany,87,89,Real Madrid CF,53000000.0,200000.0
17,177003,L. Modrić,29,Croatia,87,87,Real Madrid CF,41500000.0,190000.0
18,173731,G. Bale,25,Wales,87,88,Real Madrid CF,53000000.0,210000.0
19,155862,Sergio Ramos,29,Spain,87,87,Real Madrid CF,34000000.0,190000.0
20,121939,P. Lahm,31,Germany,87,87,FC Bayern Munich,28500000.0,190000.0
21,195864,P. Pogba,22,France,86,91,Juventus,52000000.0,180000.0
22,192985,K. De Bruyne,24,Belgium,86,89,Manchester City,49000000.0,180000.0
23,192119,T. Courtois,23,Belgium,86,90,Chelsea,44000000.0,180000.0
24,189596,T. Müller,25,Germany,86,88,FC Bayern Munich,47500000.0,210000.0
25,189511,Sergio Busquets,26,Spain,86,86,FC Barcelona,33500000.0,220000.0
26,188350,M. Reus,26,Germany,86,87,Borussia Dortmund,44500000.0,210000.0
27,184941,A. Sánchez,26,Chile,86,87,Arsenal,45500000.0,230000.0
28,183898,A. Di María,27,Argentina,86,86,Paris Saint-Germain,40500000.0,230000.0
29,182493,D. Godín,29,Uruguay,86,86,Atlético Madrid,29500000.0,180000.0
30,178603,M. Hummels,26,Germany,86,87,Borussia Dortmund,37500000.0,220000.0
31,168542,David Silva,29,Spain,86,86,Manchester City,36000000.0,190000.0
32,167664,G. Higuaín,27,Argentina,86,86,Napoli,41000000.0,190000.0
33,165153,K. Benzema,27,France,86,86,Real Madrid CF,41000000.0,230000.0
34,162895,Cesc Fàbregas,28,Spain,86,86,Chelsea,37500000.0,220000.0
35,156616,F. Ribéry,32,France,86,86,FC Bayern Munich,29500000.0,190000.0
36,138956,G. Chiellini,30,Italy,86,86,Juventus,28000000.0,190000.0
37,48940,P. Čech,33,Czech Republic,86,86,Arsenal,28000000.0,160000.0
38,197445,D. Alaba,23,Austria,85,88,FC Bayern Munich,35500000.0,160000.0
39,192883,H. Mkhitaryan,26,Armenia,85,86,Borussia Dortmund,37500000.0,180000.0
40,181872,A. Vidal,28,Chile,85,85,FC Bayern Munich,32000000.0,190000.0
41,179844,Diego Costa,26,Spain,85,86,Chelsea,39500000.0,200000.0
42,179813,E. Cavani,28,Uruguay,85,85,Paris Saint-Germain,33500000.0,200000.0
43,168651,I. Rakitić,27,Croatia,85,85,FC Barcelona,33000000.0,180000.0
44,168609,Miranda,30,Brazil,85,85,Inter,24000000.0,130000.0
45,167948,H. Lloris,28,France,85,85,Tottenham Hotspur,29000000.0,160000.0
46,152729,Piqué,28,Spain,85,85,FC Barcelona,26000000.0,190000.0
47,146562,Santi Cazorla,30,Spain,85,85,Arsenal,31000000.0,160000.0
48,143001,C. Tévez,31,Argentina,85,85,Boca Juniors,29000000.0,110000.0
49,139720,V. Kompany,29,Belgium,85,85,Manchester City,25000000.0,170000.0
50,137186,A. Barzagli,34,Italy,85,85,Juventus,10500000.0,120000.0
51,121944,B. Schweinsteiger,30,Germany,85,85,Manchester United,29500000.0,170000.0
52,54050,W. Rooney,29,England,85,85,Manchester United,32500000.0,170000.0
53,20289,Y. Touré,32,Ivory Coast,85,85,Manchester City,25000000.0,170000.0
54,199556,M. Verratti,22,Italy,84,89,Paris Saint-Germain,38000000.0,140000.0
55,197781,Isco,23,Spain,84,88,Real Madrid CF,38000000.0,170000.0
56,194765,A. Griezmann,24,France,84,88,Atlético Madrid,39000000.0,170000.0
